,0,1
0,"['i', 'need', 'a', 'place', 'to', 'dine', 'in', 'the', 'center', 'thats', 'expensive']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange']"
1,"['any', 'sort', 'of', 'food', 'would', 'be', 'fine', 'as', 'long', 'as', 'it', 'is', 'a', 'bit', 'expensive', '.', 'could', 'i', 'get', 'the', 'phone', 'number', 'for', 'your', 'recommendation', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"['sounds', 'good', 'could', 'i', 'get', 'that', 'phone', 'number', 'also', 'could', 'you', 'recommend', 'me', 'an', 'expensive', 'hotel', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O']"
3,"['yeah', 'i', 'need', 'a', 'restaurant', 'in', 'the', 'west', 'and', 'with', 'expensive', 'pricing', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'restaurant-pricerange', 'O', 'O']"
4,"['it', 's', 'a', 'place', 'called', 'don pasquale pizzeria', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-name', 'O']"
5,"['yes', 'i', 'do', ""i'll"", 'need', 'it', 'booked', 'for', 'the', 'same', 'day', 'same', 'people', 'and', ""we'd"", 'like', 'to', 'eat', 'at', '19:00', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-booktime', 'O']"
6,"['i', 'am', 'looking', 'for', 'a', 'restaurant', 'i', 'would', 'like', 'something', 'cheap', 'that', 'has', 'chinese', 'food', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'restaurant-food', 'O', 'O']"
7,"['yes', 'could', 'you', 'make', 'a', 'reservation', 'for', '1', 'at', '20:00', 'on', 'saturday', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O']"
8,"['i', 'am', 'also', 'looking', 'for', 'the', 'riverside brasserie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-name', 'O']"
9,"['can', 'you', 'try', 'for', 'saturday', 'at', '13:00', '?']","['O', 'O', 'O', 'O', 'restaurant-bookday', 'O', 'restaurant-booktime', 'O']"
10,"['6', 'people', 'will', 'be', 'dinin', '6', 'people', 'will', 'be', 'dining']","['O', 'O', 'O', 'O', 'O', 'restaurant-bookpeople', 'O', 'O', 'O', 'O']"
11,"['i', 'am', 'looking', 'for', 'an', 'expensive', 'restaurant', 'in', 'the', 'centre', 'if', 'you', 'could', 'help', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-area', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['no', 'need', 'to', 'book', 'it', 'thanks', 'but', 'can', 'you', 'help', 'me', 'find', 'a', 'cheap', 'restaurant', 'in', 'the', 'south', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-area', 'O']"
13,"['yeah', 'could', 'you', 'recommend', 'a', 'good', 'gastropub', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'restaurant-food', 'O']"
14,"['i', 'would', 'like', 'to', 'book', 'a', 'table', 'at', 'the', 'backstreet bistro', 'for', '5', 'people', 'at', '16:00', 'on', 'thursday', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'restaurant-name', 'O', 'restaurant-bookpeople', 'O', 'O', 'restaurant-booktime', 'O', 'restaurant-bookday', 'O']"
15,"['i', 'want', 'to', 'find', 'an', 'expensive', 'restaurant', 'and', 'serves', 'european', 'food', '.', 'can', 'i', 'also', 'have', 'the', 'address', ',', 'phone', 'number', 'and', 'its', 'area', '.', '?']","['O', 'O', 'O', 'O', 'O', 'restaurant-pricerange', 'O', 'O', 'O', 'restaurant-food', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
